TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2018-03-31,132712741717.0,7194047501.0,44207,175496,1782,1761
2018-04-30,136923303110.0,6809932310.0,43259,172729,1777,1761
2018-05-31,143229962690.0,7349541121.0,45542,189521,1775,1757
2018-06-30,138906424635.0,7422409119.0,44956,189630,1907,1891
2018-07-31,110520474000.0,6684820515.0,36319,171464,1759,1747
2018-08-31,113982625675.0,7292472199.0,39598,188175,1771,1759
2018-09-30,117714080645.0,6729584257.0,38097,168033,1759,1754
2018-10-31,157159805805.0,8204358900.0,53015,200958,1838,1827
2018-11-30,143033473765.0,8177011543.0,49574,200572,2065,2051
2018-12-31,75679510654.0,5799198123.0,29349,143123,1274,1272
2019-01-31,187652241026.0,9367638261.0,60626,234287,1936,1927
2019-02-28,170483368577.0,8396879900.0,54424,211994,1940,1915
2019-03-31,160326779520.0,8563219900.0,50011,209540,1840,1823
2019-04-30,148329186700.0,8162460679.0,48011,202155,1828,1807
2019-05-31,149309667340.0,9150153754.0,52416,227566,1920,1908
2019-06-30,153406994971.0,8300737000.0,53837,197994,1847,1836
2019-07-31,139573663600.0,8711354175.0,48623,217795,1782,1772
2019-08-31,126071262420.0,7976346418.0,45805,197839,1730,1713
2019-09-30,165272868942.0,8104001996.0,55592,187810,1803,1796
2019-10-31,159244064927.0,9125189777.0,56691,223420,1928,1919
2019-11-30,117260979875.0,7006013000.0,40418,173614,1533,1523
2019-12-31,85622336269.0,6505676446.0,33273,157434,1265,1261
2020-01-31,169035278899.0,9368011176.0,60075,223019,1948,1941
2020-02-29,180517618030.0,8568695536.0,60702,208064,1921,1912
2020-03-31,237264988294.0,9056459159.0,77617,224116,1783,1767
2020-04-30,259045205075.0,9288603041.0,84507,226845,1923,1908
2020-05-31,224487732257.0,8091248375.0,73270,191021,1829,1822
2020-06-30,208203011616.0,8787588050.0,73245,196639,1838,1830
2020-07-31,150736584000.0,7820555500.0,56515,183829,1944,1933
2020-08-31,170499346365.0,7011567909.0,58233,164866,1781,1770
2020-09-30,154367411445.0,7548925763.0,56503,170162,1934,1923
2020-10-31,149164870781.0,7757194997.0,58782,175949,1992,1983
2020-11-30,130257807650.0,5992303788.0,48492,139270,1532,1526
2020-12-31,104434768305.0,6861387635.0,43953,158029,1489,1485
2021-01-31,175248007397.0,8054808985.0,59772,183246,1919,1910
2021-02-28,160417001112.0,7798629700.0,57631,180520,1929,1917
2021-03-31,220624600421.0,9506165542.0,76288,216194,1905,1900
2021-04-30,148638126949.0,8641968897.0,56534,201826,1986,1976
2021-05-31,123678792732.0,6380432994.0,43962,148314,1525,1522
2021-06-30,142286708595.0,8075995410.0,54000,180433,1908,1900
2021-07-31,117250788584.0,6756684185.0,45493,156975,1901,1887
2021-08-31,129870714146.0,6385162500.0,47305,151693,1728,1715
2021-09-30,157435315096.0,7153642484.0,54563,167494,1985,1978
2021-10-31,127615991377.0,6701379051.0,47374,152850,1904,1887
2021-11-30,131622940209.0,6785342623.0,47369,154733,1780,1772
2021-12-31,86789850195.0,6330299187.0,37319,153780,1513,1512
2022-01-31,144307068999.0,7765226942.0,52382,192278,1816,1804
2022-02-28,141011590490.0,7779049984.0,50594,185588,1816,1804
2022-03-31,181760074015.0,11004839312.0,64763,259434,2007,2000
2022-04-30,134516144925.0,9730146308.0,50352,236457,1957,1950
2022-05-31,141770212410.0,10127614000.0,53559,256231,1802,1793
2022-06-30,148702549567.0,12002062909.0,56264,297141,1924,1917
2022-07-31,98500918302.0,9451952125.0,40734,232495,1747,1743
2022-08-31,103587704840.0,11056563853.0,44581,277944,1760,1753
2022-09-30,117231965966.0,11759587379.0,49148,293505,2015,2008
